code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000001,0,0,0,405911,1570464,0,0,434861,1214729,2386758,0,1500000,2020-7
KH-0000000002,0,69840,0,346240,0,0,650000,0,0,2211720,701140,400000,2020-7
KH-0000000003,0,0,466434,223100,1082572,0,31040,56008,868665,1837082,130950,600000,2020-7
KH-0000000004,0,0,76630,86033,283561,0,19400,84292,419683,1200589,0,500000,2020-7
KH-0000000005,0,0,76630,227950,780595,99668,0,109474,176657,1186271,0,400000,2020-7
KH-0000000006,55000,145000,0,574097,195528,0,31000,27583,1385130,1138040,28000,500000,2020-7
KH-0000000007,298760,121250,386060,1346855,1353310,0,60140,675693,1396831,1117565,0,2300000,2020-7
KH-0000000008,0,0,0,216000,270385,233000,0,214558,203740,1080330,0,200000,2020-7
KH-0000000009,0,21340,0,0,727820,0,675120,47278,0,1065050,0,200000,2020-7
KH-0000000010,0,0,0,113938,755253,0,9700,239479,2220951,1056427,0,1000000,2020-7
KH-0000000011,29100,0,0,151320,48743,0,0,364850,1347477,993940,0,500000,2020-7
KH-0000000012,25220,45590,40701,713460,1226288,0,0,76173,92684,954170,116400,500000,2020-7
KH-0000000013,0,0,0,120000,0,0,0,0,0,906460,0,100000,2020-7
KH-0000000014,0,0,0,0,529994,0,29100,0,234245,873447,0,200000,2020-7
KH-0000000015,11000,16000,6570,76000,313600,0,32000,85618,170000,808940,0,400000,2020-7
KH-0000000016,0,126000,0,208760,2508807,0,0,144720,619784,804275,56000,400000,2020-7
KH-0000000017,330770,249775,0,161424,1764869,0,277050,63511,1094262,803791,0,700000,2020-7
KH-0000000018,0,1653850,0,507931,437311,0,705675,413705,365090,803616,361810,500000,2020-7
KH-0000000019,35890,104760,172660,278991,35502,0,112520,217699,0,802481,33950,600000,2020-7
KH-0000000020,25220,0,0,385711,527593,0,196910,493095,774402,802267,25220,800000,2020-7
KH-0000000021,0,665420,11640,36627,28673,0,150835,225917,773891,703051,25220,1000000,2020-7
KH-0000000022,0,69000,0,290454,403712,0,32000,213222,428562,697410,0,1000000,2020-7
KH-0000000023,0,9000,0,0,67600,0,0,23200,255920,678160,0,200000,2020-7
KH-0000000024,0,232800,3958,54703,733852,0,373450,392231,424337,654711,155200,1500000,2020-7
KH-0000000025,14550,0,0,178111,295172,84148,0,169068,120404,645714,164900,700000,2020-7
KH-0000000026,167000,43000,113000,176500,649705,0,52000,145781,0,639200,120000,300000,2020-7
KH-0000000027,0,0,13910,0,372853,0,0,0,0,634380,0,100000,2020-7
KH-0000000028,180000,0,0,50000,371305,0,0,30666,0,623840,100000,300000,2020-7
KH-0000000029,0,0,0,215519,456797,0,0,0,304724,621770,0,400000,2020-7
